"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"Tcas007633",814.612549391394,1.23541171237493,0.228935132687575,5.39633955641438,6.8014175237374e-08,8.00300128626434e-06
"Tcas002003",16140.8163235462,2.27337626934327,0.421832099939615,5.38929178141898,7.07358811810373e-08,8.23471008259672e-06
"Tcas005065",741.029518481601,0.655220542128294,0.122647603868168,5.34230202191785,9.17735797656081e-08,1.05713503513163e-05
"Tcas011537",1424.04457949728,0.840235803332985,0.157640093415651,5.33008947868058,9.81643893408754e-08,1.11897178391375e-05
"Tcas005680",225.712727573538,1.27770636222813,0.240323271135565,5.31661522494582,1.05715288162076e-07,1.1804514268955e-05
"Tcas008723",4992.07969384398,1.79117145145556,0.336873237763335,5.31704882034566,1.05463778883638e-07,1.1804514268955e-05
"Tcas009165",383.3890881611,0.581426951673117,0.109407815812688,5.3143091044661,1.07062750264516e-07,1.18342189509555e-05
"Tcas003902",926.454131211794,1.1825546446485,0.22317606487054,5.29875211006375,1.1659680274163e-07,1.27591881240165e-05
"Tcas006005",661.411455559009,0.32333777547486,0.0611802839405194,5.28499958890702,1.25705039656839e-07,1.36197054352949e-05
"Tcas009957",891.136717803821,0.574741167469402,0.109132034702924,5.2664753207795,1.3906793211735e-07,1.49198076584329e-05
"Tcas007069",837.379053431399,1.85479888226729,0.353801292186123,5.24248758620006,1.58426053680653e-07,1.68316146157999e-05
"Tcas011930",14247.613680679,3.06570747488593,0.585155788565791,5.23913039021615,1.61335021467042e-07,1.69758571145561e-05
"Tcas008014",2368.91127875605,2.6753027251034,0.512673291209285,5.21833840571827,1.80535389549796e-07,1.88152263604135e-05
"Tcas004090",725.207427817911,2.04233379779965,0.392615209784419,5.20187131548234,1.97291820387577e-07,2.03675885896345e-05
"Tcas008986",671.850157408317,1.2669563718905,0.244843167187816,5.1745629107903,2.28445130141796e-07,2.33633183097352e-05
"Tcas009224",1167.5920661678,0.821745640972271,0.158919127858535,5.1708416226885,2.33042018216485e-07,2.36127667161389e-05
"Tcas003153",442.541205335302,0.40491095323014,0.0784045337665886,5.1643818766344,2.41234757469834e-07,2.41145646409728e-05
"Tcas004456",64.6345893485149,1.75695033461641,0.340324864731348,5.16256823022129,2.43584544785866e-07,2.41145646409728e-05
"Tcas006015",2452.90931440677,0.302987481923997,0.0586981922252708,5.16178557528991,2.44605380165218e-07,2.41145646409728e-05
"Tcas002098",761.860109213482,0.819632588020097,0.158844094622026,5.15998148984032,2.46974259646492e-07,2.41307082438533e-05
